"user_id","feature_enabled","experiment_selected_date","event_date","games_played","revenue"
1,0,2018-01-17,2018-01-15,31,0
1,0,2018-01-17,2018-01-16,8,0
1,0,2018-01-17,2018-01-17,27,0
1,0,2018-01-17,2018-01-18,20,0
1,0,2018-01-17,2018-01-19,39,0
1,0,2018-01-17,2018-01-20,23,0
1,0,2018-01-17,2018-01-21,16,0
1,0,2018-01-17,2018-01-22,29,0
1,0,2018-01-17,2018-01-23,20,0
1,0,2018-01-17,2018-01-24,24,0
11,1,2018-01-22,2018-01-22,5,0
12,0,2018-01-17,2018-01-15,32,0
12,0,2018-01-17,2018-01-16,38,0
12,0,2018-01-17,2018-01-17,42,0
12,0,2018-01-17,2018-01-18,34,0
12,0,2018-01-17,2018-01-19,16,0
12,0,2018-01-17,2018-01-20,22,0
12,0,2018-01-17,2018-01-21,25,0
12,0,2018-01-17,2018-01-22,28,0
12,0,2018-01-17,2018-01-23,23,0
12,0,2018-01-17,2018-01-24,19,0
22,1,2018-01-17,2018-01-15,27,0
22,1,2018-01-17,2018-01-16,23,0
22,1,2018-01-17,2018-01-17,27,0
22,1,2018-01-17,2018-01-18,18,0
22,1,2018-01-17,2018-01-19,34,0
22,1,2018-01-17,2018-01-20,21,0
22,1,2018-01-17,2018-01-21,23,0
22,1,2018-01-17,2018-01-22,27,0
22,1,2018-01-17,2018-01-23,25,0
22,1,2018-01-17,2018-01-24,22,0
32,1,2018-01-19,2018-01-19,4,0
33,0,2018-01-17,2018-01-15,5,0
33,0,2018-01-17,2018-01-16,5,0
33,0,2018-01-17,2018-01-17,6,0
33,0,2018-01-17,2018-01-18,5,0
33,0,2018-01-17,2018-01-19,5,0
33,0,2018-01-17,2018-01-21,5,0
33,0,2018-01-17,2018-01-22,3,0
33,0,2018-01-17,2018-01-23,1,0
41,0,2018-01-20,2018-01-20,2,0
42,0,2018-01-17,2018-01-15,1,0
42,0,2018-01-17,2018-01-16,5,0
42,0,2018-01-17,2018-01-17,10,0
42,0,2018-01-17,2018-01-18,1,0
42,0,2018-01-17,2018-01-19,5,0
42,0,2018-01-17,2018-01-20,0,0
42,0,2018-01-17,2018-01-21,5,0
42,0,2018-01-17,2018-01-22,0,0
42,0,2018-01-17,2018-01-23,0,0
42,0,2018-01-17,2018-01-24,0,0
52,1,2018-01-17,2018-01-15,1,0
52,1,2018-01-17,2018-01-17,3,0
52,1,2018-01-17,2018-01-22,1,0
55,0,2018-01-18,2018-01-18,2,0
55,0,2018-01-18,2018-01-20,5,0
55,0,2018-01-18,2018-01-21,2,0
58,0,2018-01-17,2018-01-15,8,0
58,0,2018-01-17,2018-01-16,22,3.98
58,0,2018-01-17,2018-01-17,28,0
58,0,2018-01-17,2018-01-18,15,0
58,0,2018-01-17,2018-01-19,20,0
58,0,2018-01-17,2018-01-20,19,1.99
58,0,2018-01-17,2018-01-21,21,0
58,0,2018-01-17,2018-01-22,24,0
58,0,2018-01-17,2018-01-23,16,0
58,0,2018-01-17,2018-01-24,20,0
68,0,2018-01-17,2018-01-15,12,0
68,0,2018-01-17,2018-01-16,29,0
68,0,2018-01-17,2018-01-17,18,0
68,0,2018-01-17,2018-01-18,5,0
68,0,2018-01-17,2018-01-19,13,0
68,0,2018-01-17,2018-01-20,8,0
68,0,2018-01-17,2018-01-21,12,0
68,0,2018-01-17,2018-01-22,13,0
68,0,2018-01-17,2018-01-23,15,0
68,0,2018-01-17,2018-01-24,19,0
78,1,2018-01-23,2018-01-23,8,0
79,0,2018-01-17,2018-01-17,6,0
79,0,2018-01-17,2018-01-18,6,0
79,0,2018-01-17,2018-01-19,8,0
79,0,2018-01-17,2018-01-20,12,0
83,1,2018-01-18,2018-01-16,1,0
83,1,2018-01-18,2018-01-18,4,0
83,1,2018-01-18,2018-01-19,0,0
83,1,2018-01-18,2018-01-20,1,0
83,1,2018-01-18,2018-01-21,3,0
83,1,2018-01-18,2018-01-24,2,0
89,1,2018-01-17,2018-01-15,13,0
89,1,2018-01-17,2018-01-16,14,0
89,1,2018-01-17,2018-01-17,9,0
89,1,2018-01-17,2018-01-18,10,0
89,1,2018-01-17,2018-01-19,12,0
89,1,2018-01-17,2018-01-20,14,0
89,1,2018-01-17,2018-01-21,8,0
89,1,2018-01-17,2018-01-22,18,0
89,1,2018-01-17,2018-01-23,15,0
89,1,2018-01-17,2018-01-24,14,0
99,0,2018-01-19,2018-01-19,6,0
99,0,2018-01-19,2018-01-23,3,0
99,0,2018-01-19,2018-01-24,0,0
102,0,2018-01-17,2018-01-15,5,0
102,0,2018-01-17,2018-01-16,11,0
102,0,2018-01-17,2018-01-17,19,0
102,0,2018-01-17,2018-01-19,8,0
102,0,2018-01-17,2018-01-22,11,0
107,1,2018-01-19,2018-01-19,7,0
108,0,2018-01-17,2018-01-15,0,0
108,0,2018-01-17,2018-01-16,5,0
108,0,2018-01-17,2018-01-17,12,0
108,0,2018-01-17,2018-01-18,10,0
108,0,2018-01-17,2018-01-19,5,0
108,0,2018-01-17,2018-01-20,3,0
108,0,2018-01-17,2018-01-21,8,0
108,0,2018-01-17,2018-01-22,0,0
108,0,2018-01-17,2018-01-23,0,0
117,0,2018-01-17,2018-01-15,7,0
117,0,2018-01-17,2018-01-16,5,0
117,0,2018-01-17,2018-01-17,8,0
117,0,2018-01-17,2018-01-19,7,0
117,0,2018-01-17,2018-01-21,5,0
117,0,2018-01-17,2018-01-22,16,0
123,0,2018-01-23,2018-01-21,17,0
123,0,2018-01-23,2018-01-22,5,0
123,0,2018-01-23,2018-01-23,1,0
